ntracks_iso,ntracks_total,frac_kept
0,69,0.0
0,69,0.0
0,96,0.0
0,63,0.0
1,50,0.02
0,103,0.0
0,69,0.0
0,85,0.0
0,84,0.0
0,55,0.0
0,55,0.0
0,104,0.0
0,76,0.0
0,60,0.0
0,48,0.0
0,48,0.0
0,110,0.0
0,70,0.0
1,103,0.009708737864077669
0,84,0.0
0,69,0.0
1,53,0.018867924528301886
0,53,0.0
0,74,0.0
0,71,0.0
1,76,0.013157894736842105
0,88,0.0
0,77,0.0
0,101,0.0
0,67,0.0
0,48,0.0
1,48,0.020833333333333332
0,79,0.0
0,74,0.0
0,123,0.0
1,90,0.011111111111111112
0,79,0.0
0,109,0.0
0,107,0.0
0,60,0.0
0,80,0.0
0,80,0.0
1,72,0.013888888888888888
0,72,0.0
0,58,0.0
2,127,0.015748031496062992
0,78,0.0
0,96,0.0
0,96,0.0
0,51,0.0
0,69,0.0
0,69,0.0
0,84,0.0
0,111,0.0
0,86,0.0
1,57,0.017543859649122806
0,57,0.0
0,90,0.0
0,90,0.0
0,89,0.0
0,38,0.0
0,58,0.0
0,58,0.0
0,59,0.0
0,76,0.0
0,77,0.0
0,77,0.0
0,44,0.0
0,77,0.0
0,73,0.0
0,73,0.0
0,87,0.0
0,102,0.0
0,102,0.0
0,69,0.0
0,69,0.0
0,60,0.0
0,76,0.0
0,88,0.0
0,94,0.0
0,70,0.0
0,70,0.0
0,81,0.0
0,73,0.0
0,107,0.0
1,108,0.009259259259259259
0,111,0.0
0,76,0.0
0,85,0.0
0,85,0.0
0,87,0.0
0,111,0.0
0,92,0.0
2,86,0.023255813953488372
0,101,0.0
1,101,0.009900990099009901
1,149,0.006711409395973154
0,149,0.0
1,98,0.01020408163265306
0,61,0.0
0,61,0.0
0,75,0.0
0,75,0.0
0,77,0.0
0,107,0.0
0,107,0.0
0,81,0.0
0,81,0.0
0,105,0.0
0,96,0.0
1,88,0.011363636363636364
0,60,0.0
0,68,0.0
1,85,0.011764705882352941
1,85,0.011764705882352941
1,88,0.011363636363636364
0,88,0.0
0,62,0.0
1,92,0.010869565217391304
0,92,0.0
0,70,0.0
0,124,0.0
0,113,0.0
0,88,0.0
0,88,0.0
0,52,0.0
0,105,0.0
0,86,0.0
0,59,0.0
0,59,0.0
0,85,0.0
0,112,0.0
0,94,0.0
1,94,0.010638297872340425
0,80,0.0
0,112,0.0
0,65,0.0
0,94,0.0
0,73,0.0
0,73,0.0
0,67,0.0
0,74,0.0
1,74,0.013513513513513514
0,74,0.0
0,89,0.0
1,108,0.009259259259259259
0,108,0.0
1,62,0.016129032258064516
0,67,0.0
0,34,0.0
1,70,0.014285714285714285
1,70,0.014285714285714285
0,86,0.0
0,107,0.0
0,54,0.0
0,54,0.0
0,57,0.0
0,99,0.0
0,99,0.0
0,117,0.0
