ntracks_iso,ntracks_total,frac_kept
7,1749,0.004002287021154946
4,1749,0.002287021154945683
8,2191,0.003651300775901415
4,1532,0.0026109660574412533
8,1010,0.007920792079207921
3,1808,0.00165929203539823
3,1649,0.0018192844147968466
6,1772,0.003386004514672686
4,1824,0.0021929824561403508
1,1241,0.0008058017727639
2,1241,0.0016116035455278
12,2271,0.005284015852047556
5,1540,0.003246753246753247
5,1489,0.0033579583613163196
1,1005,0.0009950248756218905
6,1005,0.005970149253731343
8,2507,0.0031910650179497405
8,1544,0.0051813471502590676
14,2190,0.006392694063926941
7,1731,0.004043905257076834
5,1719,0.0029086678301337987
8,1333,0.006001500375093774
4,1333,0.003000750187546887
2,1404,0.0014245014245014246
5,1783,0.0028042624789680315
9,1720,0.005232558139534884
5,1463,0.003417634996582365
9,1385,0.006498194945848376
3,1925,0.0015584415584415584
5,1753,0.002852253280091272
6,1218,0.0049261083743842365
7,1218,0.005747126436781609
3,1607,0.001866832607342875
4,1489,0.002686366689053056
5,2461,0.0020316944331572532
9,1981,0.004543160020191822
8,1680,0.004761904761904762
8,1995,0.0040100250626566416
14,2136,0.006554307116104869
5,1569,0.0031867431485022306
5,1591,0.0031426775612822125
4,1591,0.00251414204902577
12,1443,0.008316008316008316
4,1443,0.002772002772002772
4,1100,0.0036363636363636364
11,1972,0.005578093306288032
10,1832,0.0054585152838427945
9,1777,0.005064715813168261
10,1777,0.005627462014631401
9,921,0.009771986970684038
5,1733,0.0028851702250432777
4,1733,0.002308136180034622
4,1183,0.0033812341504649195
4,2092,0.0019120458891013384
8,1735,0.004610951008645533
7,1281,0.00546448087431694
4,1281,0.00312256049960968
4,2101,0.0019038553069966682
7,2101,0.0033317467872441696
7,1698,0.004122497055359246
7,1190,0.0058823529411764705
6,1464,0.004098360655737705
5,1464,0.0034153005464480873
3,1194,0.002512562814070352
1,1574,0.0006353240152477764
4,1801,0.002220988339811216
8,1801,0.004441976679622432
3,978,0.003067484662576687
4,1540,0.0025974025974025974
9,1518,0.005928853754940711
7,1518,0.00461133069828722
