ntracks_iso,ntracks_total,frac_kept
3,1142,0.002626970227670753
2,1142,0.0017513134851138354
6,1419,0.004228329809725159
2,990,0.00202020202020202
2,647,0.0030911901081916537
2,1166,0.0017152658662092624
1,1081,0.0009250693802035153
4,1176,0.003401360544217687
1,1188,0.0008417508417508417
1,752,0.0013297872340425532
1,752,0.0013297872340425532
4,1509,0.0026507620941020544
4,1013,0.003948667324777887
2,941,0.0021253985122210413
1,621,0.001610305958132045
3,621,0.004830917874396135
2,1628,0.0012285012285012285
4,1010,0.0039603960396039604
10,1466,0.0068212824010914054
3,1099,0.00272975432211101
2,1105,0.0018099547511312218
6,807,0.007434944237918215
1,807,0.0012391573729863693
2,893,0.0022396416573348264
3,1163,0.0025795356835769563
6,1113,0.005390835579514825
2,954,0.0020964360587002098
6,943,0.006362672322375398
1,1309,0.0007639419404125286
1,1149,0.0008703220191470844
2,801,0.0024968789013732834
2,801,0.0024968789013732834
1,1061,0.000942507068803016
1,962,0.0010395010395010396
1,1642,0.0006090133982947625
6,1280,0.0046875
5,1140,0.0043859649122807015
4,1297,0.0030840400925212026
2,1386,0.001443001443001443
3,1000,0.003
3,1057,0.002838221381267739
1,1057,0.000946073793755913
7,964,0.007261410788381743
2,964,0.002074688796680498
2,689,0.002902757619738752
7,1324,0.005287009063444109
6,1226,0.004893964110929853
3,1133,0.00264783759929391
6,1133,0.00529567519858782
5,570,0.008771929824561403
3,1131,0.002652519893899204
2,1131,0.0017683465959328027
2,780,0.002564102564102564
2,1386,0.001443001443001443
3,1134,0.0026455026455026454
3,820,0.003658536585365854
2,820,0.0024390243902439024
3,1404,0.002136752136752137
5,1404,0.0035612535612535613
1,1092,0.0009157509157509158
2,760,0.002631578947368421
4,986,0.004056795131845842
3,986,0.0030425963488843813
0,740,0.0
1,1041,0.0009606147934678194
1,1201,0.0008326394671107411
5,1201,0.004163197335553705
1,609,0.0016420361247947454
2,985,0.0020304568527918783
6,978,0.006134969325153374
4,978,0.00408997955010225
3,1116,0.002688172043010753
1,1268,0.0007886435331230284
1,1268,0.0007886435331230284
2,1036,0.0019305019305019305
2,1036,0.0019305019305019305
1,838,0.0011933174224343676
2,1022,0.0019569471624266144
1,1018,0.0009823182711198428
5,1051,0.004757373929590866
8,1200,0.006666666666666667
2,1200,0.0016666666666666668
1,978,0.0010224948875255625
1,1190,0.0008403361344537816
0,1165,0.0
2,1230,0.0016260162601626016
1,1295,0.0007722007722007722
1,967,0.001034126163391934
3,1023,0.002932551319648094
5,1023,0.004887585532746823
5,1049,0.004766444232602479
7,1294,0.005409582689335394
2,1118,0.0017889087656529517
6,1131,0.005305039787798408
0,1335,0.0
7,1335,0.0052434456928838954
4,1414,0.002828854314002829
6,1414,0.004243281471004243
3,1264,0.0023734177215189874
0,1060,0.0
1,1060,0.0009433962264150943
0,950,0.0
1,950,0.0010526315789473684
9,984,0.009146341463414634
2,1124,0.0017793594306049821
3,1124,0.0026690391459074734
4,990,0.00404040404040404
1,1247,0.0008019246190858059
4,1250,0.0032
0,1147,0.0
5,1182,0.004230118443316413
1,1035,0.000966183574879227
2,661,0.0030257186081694403
4,942,0.004246284501061571
2,942,0.0021231422505307855
6,1099,0.00545950864422202
1,1099,0.0009099181073703367
4,1085,0.003686635944700461
6,1084,0.005535055350553505
1,1084,0.0009225092250922509
4,1262,0.003169572107765452
4,1490,0.0026845637583892616
2,1421,0.0014074595355383533
2,1310,0.0015267175572519084
3,1310,0.0022900763358778627
0,716,0.0
